match_id,date,year,format,team,opponent,competition,stage,venue,city,result,winner,margin,margin_type,player_of_match,india_players
535997,2011-11-06,2011,Test,India,West Indies,West Indies in India Test Series,,Feroz Shah Kotla,Delhi,Won,India,5.0,wickets,R Ashwin,"G Gambhir, V Sehwag, R Dravid, SR Tendulkar, VVS Laxman, Yuvraj Singh, MS Dhoni, R Ashwin, I Sharma, PP Ojha, UT Yadav"
535998,2011-11-14,2011,Test,India,West Indies,West Indies in India Test Series,,Eden Gardens,Kolkata,Won,India,15.0,runs,VVS Laxman,"G Gambhir, V Sehwag, R Dravid, SR Tendulkar, VVS Laxman, I Sharma, Yuvraj Singh, MS Dhoni, R Ashwin, PP Ojha, UT Yadav"
535999,2011-11-22,2011,Test,India,West Indies,West Indies in India Test Series,,Wankhede Stadium,Mumbai,Draw,,,,R Ashwin,"G Gambhir, V Sehwag, R Dravid, SR Tendulkar, VVS Laxman, V Kohli, MS Dhoni, R Ashwin, I Sharma, VR Aaron, PP Ojha"
536929,2011-11-29,2011,ODI,India,West Indies,West Indies in India ODI Series,,Barabati Stadium,Cuttack,Won,India,1.0,wickets,RG Sharma,"PA Patel, V Sehwag, G Gambhir, V Kohli, RG Sharma, SK Raina, RA Jadeja, R Ashwin, R Vinay Kumar, VR Aaron, UT Yadav"
536930,2011-12-02,2011,ODI,India,West Indies,West Indies in India ODI Series,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Won,India,5.0,wickets,V Kohli,"PA Patel, V Sehwag, G Gambhir, V Kohli, RG Sharma, SK Raina, RA Jadeja, R Ashwin, R Vinay Kumar, VR Aaron, UT Yadav"
536931,2011-12-05,2011,ODI,India,West Indies,West Indies in India ODI Series,,"Sardar Patel Stadium, Motera",Ahmedabad,Lost,West Indies,16.0,runs,R Rampaul,"PA Patel, V Sehwag, G Gambhir, V Kohli, RG Sharma, SK Raina, RA Jadeja, R Ashwin, R Vinay Kumar, A Mithun, UT Yadav"
536932,2011-12-08,2011,ODI,India,West Indies,West Indies in India ODI Series,,Holkar Cricket Stadium,Indore,Won,India,153.0,runs,V Sehwag,"G Gambhir, V Sehwag, SK Raina, RA Jadeja, RG Sharma, V Kohli, PA Patel, R Ashwin, R Vinay Kumar, A Mithun, R Sharma"
536933,2011-12-11,2011,ODI,India,West Indies,West Indies in India ODI Series,,"MA Chidambaram Stadium, Chepauk",Chennai,Won,India,34.0,runs,MK Tiwary,"G Gambhir, AM Rahane, PA Patel, MK Tiwary, V Kohli, RG Sharma, SK Raina, IK Pathan, RA Jadeja, A Mithun, R Sharma"
518950,2011-12-26,2011,Test,India,Australia,Border-Gavaskar Trophy,,Melbourne Cricket Ground,,Lost,Australia,122.0,runs,JL Pattinson,"G Gambhir, V Sehwag, R Dravid, SR Tendulkar, I Sharma, VVS Laxman, V Kohli, MS Dhoni, R Ashwin, Z Khan, UT Yadav"
518951,2012-01-03,2012,Test,India,Australia,Border-Gavaskar Trophy,,Sydney Cricket Ground,,Lost,Australia,68.0,runs,MJ Clarke,"G Gambhir, V Sehwag, R Dravid, SR Tendulkar, VVS Laxman, V Kohli, MS Dhoni, R Ashwin, Z Khan, I Sharma, UT Yadav"
518952,2012-01-13,2012,Test,India,Australia,Border-Gavaskar Trophy,,Western Australia Cricket Association Ground,Perth,Lost,Australia,37.0,runs,DA Warner,"G Gambhir, V Sehwag, R Dravid, SR Tendulkar, VVS Laxman, V Kohli, MS Dhoni, R Vinay Kumar, Z Khan, I Sharma, UT Yadav"
518953,2012-01-24,2012,Test,India,Australia,Border-Gavaskar Trophy,,Adelaide Oval,,Lost,Australia,298.0,runs,PM Siddle,"G Gambhir, V Sehwag, R Dravid, SR Tendulkar, VVS Laxman, V Kohli, WP Saha, R Ashwin, Z Khan, I Sharma, UT Yadav"
518954,2012-02-01,2012,T20I,India,Australia,India in Australia T20I Series,,Stadium Australia,Sydney,Lost,Australia,31.0,runs,MS Wade,"G Gambhir, V Sehwag, V Kohli, SK Raina, RG Sharma, MS Dhoni, RA Jadeja, R Ashwin, R Sharma, R Vinay Kumar, P Kumar"
518955,2012-02-03,2012,T20I,India,Australia,India in Australia T20I Series,,Melbourne Cricket Ground,,Won,India,8.0,wickets,RA Jadeja,"G Gambhir, V Sehwag, V Kohli, MS Dhoni, SK Raina, RG Sharma, RA Jadeja, R Sharma, R Ashwin, R Vinay Kumar, P Kumar"
518956,2012-02-05,2012,ODI,India,Australia,Commonwealth Bank Series,,Melbourne Cricket Ground,,Lost,Australia,65.0,runs,MS Wade,"G Gambhir, SR Tendulkar, V Kohli, RG Sharma, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, R Sharma, P Kumar, R Vinay Kumar"
518957,2012-02-08,2012,ODI,India,Sri Lanka,Commonwealth Bank Series,,Western Australia Cricket Association Ground,Perth,Won,India,4.0,wickets,R Ashwin,"V Sehwag, SR Tendulkar, V Kohli, RG Sharma, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, R Vinay Kumar, P Kumar, Z Khan"
518959,2012-02-12,2012,ODI,India,Australia,Commonwealth Bank Series,,Adelaide Oval,,Won,India,4.0,wickets,G Gambhir,"G Gambhir, V Sehwag, V Kohli, RG Sharma, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, R Vinay Kumar, Z Khan, UT Yadav"
518960,2012-02-14,2012,ODI,India,Sri Lanka,Commonwealth Bank Series,,Adelaide Oval,,Tie,,,,MS Dhoni,"G Gambhir, SR Tendulkar, V Kohli, RG Sharma, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, IK Pathan, R Vinay Kumar, UT Yadav"
518962,2012-02-19,2012,ODI,India,Australia,Commonwealth Bank Series,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Lost,Australia,110.0,runs,BW Hilfenhaus,"G Gambhir, SR Tendulkar, V Kohli, RG Sharma, SK Raina, MS Dhoni, RA Jadeja, IK Pathan, R Vinay Kumar, Z Khan, UT Yadav"
518963,2012-02-21,2012,ODI,India,Sri Lanka,Commonwealth Bank Series,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Lost,Sri Lanka,51.0,runs,KMDN Kulasekara,"V Sehwag, SR Tendulkar, G Gambhir, V Kohli, SK Raina, RA Jadeja, IK Pathan, PA Patel, R Ashwin, R Vinay Kumar, UT Yadav"
518965,2012-02-26,2012,ODI,India,Australia,Commonwealth Bank Series,,Sydney Cricket Ground,,Lost,Australia,87.0,runs,DA Warner,"V Sehwag, SR Tendulkar, G Gambhir, V Kohli, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, IK Pathan, P Kumar, UT Yadav"
518966,2012-02-28,2012,ODI,India,Sri Lanka,Commonwealth Bank Series,,Bellerive Oval,Hobart,Won,India,7.0,wickets,V Kohli,"V Sehwag, SR Tendulkar, G Gambhir, V Kohli, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, P Kumar, Z Khan, UT Yadav"
535795,2012-03-13,2012,ODI,India,Sri Lanka,Asia Cup,,Shere Bangla National Stadium,Mirpur,Won,India,50.0,runs,V Kohli,"G Gambhir, SR Tendulkar, V Kohli, MS Dhoni, SK Raina, RG Sharma, RA Jadeja, IK Pathan, R Ashwin, P Kumar, R Vinay Kumar"
535797,2012-03-16,2012,ODI,India,Bangladesh,Asia Cup,,Shere Bangla National Stadium,Mirpur,Lost,Bangladesh,5.0,wickets,Shakib Al Hasan,"G Gambhir, SR Tendulkar, V Kohli, SK Raina, MS Dhoni, RG Sharma, RA Jadeja, IK Pathan, R Ashwin, P Kumar, AB Dinda"
535798,2012-03-18,2012,ODI,India,Pakistan,Asia Cup,,Shere Bangla National Stadium,Mirpur,Won,India,6.0,wickets,V Kohli,"G Gambhir, SR Tendulkar, V Kohli, RG Sharma, SK Raina, MS Dhoni, YK Pathan, IK Pathan, R Ashwin, P Kumar, AB Dinda"
556252,2012-03-30,2012,T20I,India,South Africa,,,New Wanderers Stadium,Johannesburg,Lost,South Africa,11.0,runs,CA Ingram,"RV Uthappa, G Gambhir, V Kohli, RG Sharma, SK Raina, MS Dhoni, YK Pathan, IK Pathan, R Ashwin, P Kumar, R Vinay Kumar"
564781,2012-07-21,2012,ODI,India,Sri Lanka,India in Sri Lanka ODI Series,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Won,India,21.0,runs,V Kohli,"G Gambhir, V Sehwag, V Kohli, RG Sharma, SK Raina, MS Dhoni, IK Pathan, R Ashwin, Z Khan, UT Yadav, PP Ojha"
564782,2012-07-24,2012,ODI,India,Sri Lanka,India in Sri Lanka ODI Series,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Lost,Sri Lanka,9.0,wickets,NLTC Perera,"G Gambhir, V Sehwag, V Kohli, RG Sharma, SK Raina, MS Dhoni, IK Pathan, R Ashwin, Z Khan, PP Ojha, UT Yadav"
564783,2012-07-28,2012,ODI,India,Sri Lanka,India in Sri Lanka ODI Series,,R Premadasa Stadium,Colombo,Won,India,5.0,wickets,SK Raina,"G Gambhir, V Sehwag, V Kohli, MS Dhoni, RG Sharma, SK Raina, IK Pathan, R Ashwin, Z Khan, R Sharma, AB Dinda"
564784,2012-07-31,2012,ODI,India,Sri Lanka,India in Sri Lanka ODI Series,,R Premadasa Stadium,Colombo,Won,India,6.0,wickets,V Kohli,"G Gambhir, V Sehwag, V Kohli, RG Sharma, MK Tiwary, SK Raina, MS Dhoni, IK Pathan, R Ashwin, Z Khan, AB Dinda"
564785,2012-08-04,2012,ODI,India,Sri Lanka,India in Sri Lanka ODI Series,,Pallekele International Cricket Stadium,,Won,India,20.0,runs,IK Pathan,"G Gambhir, AM Rahane, V Kohli, RG Sharma, MK Tiwary, SK Raina, MS Dhoni, IK Pathan, R Ashwin, Z Khan, AB Dinda"
564786,2012-08-07,2012,T20I,India,Sri Lanka,,,Pallekele International Cricket Stadium,,Won,India,39.0,runs,IK Pathan,"G Gambhir, AM Rahane, V Kohli, SK Raina, MS Dhoni, RG Sharma, MK Tiwary, IK Pathan, R Ashwin, UT Yadav, AB Dinda"
565817,2012-08-23,2012,Test,India,New Zealand,New Zealand in India Test Series,,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Won,India,115.0,runs,R Ashwin,"G Gambhir, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, SK Raina, MS Dhoni, R Ashwin, Z Khan, PP Ojha, UT Yadav"
565818,2012-08-31,2012,Test,India,New Zealand,New Zealand in India Test Series,,M Chinnaswamy Stadium,Bangalore,Won,India,5.0,wickets,V Kohli,"G Gambhir, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, SK Raina, MS Dhoni, R Ashwin, Z Khan, PP Ojha, UT Yadav"
565820,2012-09-11,2012,T20I,India,New Zealand,New Zealand in India T20I Series,,"MA Chidambaram Stadium, Chepauk",Chennai,Lost,New Zealand,1.0,runs,BB McCullum,"G Gambhir, V Kohli, SK Raina, Yuvraj Singh, MS Dhoni, RG Sharma, MK Tiwary, IK Pathan, R Ashwin, Z Khan, L Balaji"
533281,2012-09-23,2012,T20I,India,England,ICC World Twenty20,,R Premadasa Stadium,Colombo,Won,India,90.0,runs,Harbhajan Singh,"G Gambhir, IK Pathan, V Kohli, RG Sharma, MS Dhoni, SK Raina, Yuvraj Singh, Harbhajan Singh, PP Chawla, AB Dinda, L Balaji"
533287,2012-09-28,2012,T20I,India,Australia,ICC World Twenty20,,R Premadasa Stadium,Colombo,Lost,Australia,9.0,wickets,SR Watson,"G Gambhir, IK Pathan, V Kohli, Yuvraj Singh, RG Sharma, SK Raina, MS Dhoni, R Ashwin, Harbhajan Singh, PP Chawla, Z Khan"
